landmass,area,population,language,bars ,stripes,colors,red,green,blue,gold,white,black,orange,mainhue,text,religion
5,648,16,10,0,3,5,1,1,0,1,1,1,0,5,0,3
3,29,3,6,0,0,3,1,0,0,1,0,1,0,7,0,7
4,2388,20,8,2,0,3,1,1,0,0,1,0,0,5,0,3
6,0,0,1,0,0,5,1,0,1,1,1,0,1,2,0,2
3,0,0,6,3,0,3,1,0,1,1,0,0,0,4,0,1
4,1247,7,10,0,2,3,1,0,0,1,0,1,0,7,0,6
1,0,0,1,0,1,3,0,0,1,0,1,0,1,8,0,2
1,0,0,1,0,1,5,1,0,1,1,1,1,0,7,0,2
2,2777,28,2,0,3,2,0,0,1,0,1,0,0,2,0,1
2,2777,28,2,0,3,3,0,0,1,1,1,0,0,2,0,1
6,7690,15,1,0,0,3,1,0,1,0,1,0,0,2,0,2
3,84,8,4,0,3,2,1,0,0,0,1,0,0,7,0,1
1,19,0,1,0,3,3,0,0,1,1,0,1,0,2,0,2
5,1,0,8,0,0,2,1,0,0,0,1,0,0,7,0,3
5,143,90,6,0,0,2,1,1,0,0,0,0,0,5,0,3
1,0,0,1,3,0,3,0,0,1,1,0,1,0,2,0,2
3,31,10,6,3,0,3,1,0,0,1,0,1,0,4,0,1
1,23,0,1,0,2,8,1,1,1,1,1,1,1,2,1,2
4,113,3,3,0,0,2,1,1,0,0,0,0,0,5,0,6
1,0,0,1,0,0,6,1,1,1,1,1,1,0,7,0,2
5,47,1,10,0,0,4,1,0,0,0,1,1,1,6,0,4
2,1099,6,2,0,3,3,1,1,0,1,0,0,0,7,0,1
4,600,1,10,0,5,3,0,0,1,0,1,1,0,2,0,6
2,8512,119,6,0,0,4,0,1,1,1,1,0,0,5,1,1
1,0,0,1,0,0,6,1,1,1,1,1,0,1,2,1,2
5,6,0,10,0,0,4,1,0,0,1,1,1,0,4,1,3
3,111,9,5,0,3,5,1,1,1,1,1,0,0,7,0,7
4,274,7,3,0,2,3,1,1,0,1,0,0,0,7,0,6
5,678,35,10,0,0,3,1,0,1,0,1,0,0,7,0,4
4,28,4,10,0,0,3,1,1,0,0,1,0,0,7,0,6
4,474,8,3,3,0,3,1,1,0,1,0,0,0,4,0,2
1,9976,24,1,2,0,2,1,0,0,0,1,0,0,7,0,2
4,4,0,6,1,2,5,1,1,0,1,0,1,1,4,0,1
1,0,0,1,0,0,6,1,1,1,1,1,0,1,2,1,2
4,623,2,10,1,0,5,1,1,1,1,1,0,0,4,0,6
4,1284,4,3,3,0,3,1,0,1,1,0,0,0,4,0,6
2,757,11,2,0,2,3,1,0,1,0,1,0,0,7,0,1
5,9561,1008,7,0,0,2,1,0,0,1,0,0,0,7,0,7
2,1139,28,2,0,3,3,1,0,1,1,0,0,0,4,0,1
4,2,0,3,0,0,2,0,1,0,0,1,0,0,5,0,3
4,342,2,10,0,0,3,1,1,0,1,0,0,0,7,0,6
6,0,0,1,0,0,4,1,0,1,0,1,0,0,2,0,2
1,51,2,2,0,5,3,1,0,1,0,1,0,0,2,0,1
1,115,10,2,0,5,3,1,0,1,0,1,0,0,2,0,7
3,9,1,6,0,0,3,0,1,0,1,1,0,0,8,0,2
3,128,15,5,0,0,3,1,0,1,0,1,0,0,8,0,7
3,43,5,6,0,0,2,1,0,0,0,1,0,0,7,0,2
4,22,0,3,0,0,4,1,1,1,0,1,0,0,2,0,3
1,0,0,1,0,0,6,1,1,1,1,1,1,0,5,0,2
1,49,6,2,0,0,3,1,0,1,0,1,0,0,2,0,1
2,284,8,2,0,3,3,1,0,1,1,0,0,0,4,0,1
4,1001,47,8,0,3,4,1,0,0,1,1,1,0,1,1,3
1,21,5,2,0,3,2,0,0,1,0,1,0,0,2,0,1
4,28,0,10,0,3,4,1,1,1,0,1,0,0,5,0,6
4,1222,31,10,0,3,3,1,1,0,1,0,0,0,5,0,2
3,1,0,6,0,0,3,1,0,1,0,1,0,0,8,0,2
2,12,0,1,0,0,6,1,1,1,1,1,0,0,2,1,2
6,18,1,1,0,0,7,1,1,1,1,1,0,1,2,0,2
3,337,5,9,0,0,2,0,0,1,0,1,0,0,8,0,2
3,547,54,3,3,0,3,1,0,1,0,1,0,0,8,0,1
2,91,0,3,3,0,3,1,0,1,0,1,0,0,8,0,1
6,4,0,3,0,3,5,1,0,1,1,1,1,0,7,0,1
4,268,1,10,0,3,3,0,1,1,1,0,0,0,5,0,6
4,10,1,1,0,5,4,1,1,1,0,1,0,0,7,0,6
3,108,17,4,0,3,3,1,0,0,1,0,1,0,4,0,7
3,249,61,4,0,3,3,1,0,0,1,0,1,0,1,0,2
4,239,14,1,0,3,4,1,1,0,1,0,1,0,7,0,6
3,0,0,1,0,1,3,1,0,0,1,1,0,0,8,0,2
3,132,10,6,0,9,2,0,0,1,0,1,0,0,2,0,2
1,2176,0,6,0,0,2,1,0,0,0,1,0,0,8,0,2
1,0,0,1,0,0,3,1,1,0,1,0,0,0,4,0,2
6,0,0,1,0,0,7,1,1,1,1,1,0,1,2,1,2
1,109,8,2,3,0,2,0,0,1,0,1,0,0,2,0,1
4,246,6,3,3,0,3,1,1,0,1,0,0,0,4,0,3
4,36,1,6,1,2,4,1,1,0,1,0,1,0,4,0,6
2,215,1,1,0,0,5,1,1,0,1,1,1,0,5,0,5
1,28,6,3,2,0,2,1,0,0,0,0,1,0,1,0,1
1,112,4,2,0,3,2,0,0,1,0,1,0,0,2,0,1
5,1,5,7,0,0,6,1,1,1,1,1,0,1,2,1,4
3,93,11,9,0,3,3,1,1,0,0,1,0,0,7,0,7
3,103,0,6,0,0,3,1,0,1,0,1,0,0,2,0,2
5,3268,684,6,0,3,4,0,1,1,0,1,0,1,6,0,5
6,1904,157,10,0,2,2,1,0,0,0,1,0,0,7,0,3
5,1648,39,6,0,3,3,1,1,0,0,1,0,0,7,1,3
5,435,14,8,0,3,4,1,1,0,0,1,1,0,7,0,3
3,70,3,1,3,0,3,0,1,0,0,1,0,1,8,0,1
5,21,4,10,0,2,2,0,0,1,0,1,0,0,8,0,8
3,301,57,6,3,0,3,1,1,0,0,1,0,0,8,0,1
4,323,7,3,3,0,3,1,1,0,0,1,0,0,8,0,6
1,11,2,1,0,0,3,0,1,0,1,0,1,0,5,0,2
5,372,118,9,0,0,2,1,0,0,0,1,0,0,8,0,8
5,98,2,8,0,3,4,1,1,0,0,1,1,0,1,0,3
5,181,6,10,0,0,2,1,0,0,1,0,0,0,7,0,4
4,583,17,10,0,5,4,1,1,0,0,1,1,0,7,0,6
6,0,0,1,0,0,4,1,0,1,1,1,0,0,7,0,2
5,18,2,8,0,3,4,1,1,0,0,1,1,0,5,0,3
5,236,3,10,0,3,3,1,0,1,0,1,0,0,7,0,7
5,10,3,8,0,2,4,1,1,0,0,1,0,1,7,0,3
4,30,1,10,2,0,4,1,1,1,0,1,0,0,2,0,6
4,111,1,10,0,11,3,1,0,1,0,1,0,0,7,0,6
4,1760,3,8,0,0,1,0,1,0,0,0,0,0,5,0,3
3,0,0,4,0,2,3,1,0,1,1,0,0,0,7,0,1
3,3,0,4,0,3,3,1,0,1,0,1,0,0,7,0,1
4,587,9,10,1,2,3,1,1,0,0,1,0,0,7,0,2
4,118,6,10,0,3,3,1,1,0,0,0,1,0,7,0,6
5,333,13,10,0,14,4,1,0,1,1,1,0,0,7,0,3
5,0,0,10,0,0,3,1,1,0,0,1,0,0,7,0,3
4,1240,7,3,3,0,3,1,1,0,1,0,0,0,4,0,3
3,0,0,10,2,0,3,1,0,0,0,1,1,0,7,0,1
6,0,0,10,0,0,3,0,0,1,0,1,0,0,2,0,2
4,1031,2,8,0,0,2,0,1,0,1,0,0,0,5,0,3
4,2,1,1,0,4,4,1,1,1,1,0,0,0,7,0,5
1,1973,77,2,3,0,4,1,1,0,0,1,0,1,5,0,1
6,1,0,10,0,0,2,0,0,1,0,1,0,0,2,0,2
3,0,0,3,0,2,2,1,0,0,0,1,0,0,7,0,1
5,1566,2,10,3,0,3,1,0,1,1,0,0,0,7,0,7
1,0,0,1,0,0,7,1,1,1,1,1,1,0,2,0,2
4,447,20,8,0,0,2,1,1,0,0,0,0,0,7,0,3
4,783,12,10,0,5,5,1,1,0,1,1,1,0,4,0,6
6,0,0,10,0,3,3,0,0,1,1,1,0,0,2,0,2
5,140,16,10,0,0,3,0,0,1,0,1,0,1,3,0,5
3,41,14,6,0,3,3,1,0,1,0,1,0,0,7,0,2
1,0,0,6,0,1,3,1,0,1,0,1,0,0,8,0,2
6,268,2,1,0,0,3,1,0,1,0,1,0,0,2,0,2
1,128,3,2,0,3,2,0,0,1,0,1,0,0,2,0,1
4,1267,5,3,0,3,3,0,1,0,0,1,0,1,6,0,3
4,925,56,10,3,0,2,0,1,0,0,1,0,0,5,0,3
6,0,0,1,0,0,4,1,0,1,1,1,0,0,4,0,2
5,121,18,10,0,5,3,1,0,1,0,1,0,0,2,0,7
5,195,9,8,0,3,4,1,1,0,0,1,1,0,7,0,3
3,324,4,6,0,0,3,1,0,1,0,1,0,0,7,0,2
5,212,1,8,0,2,3,1,1,0,0,1,0,0,7,0,3
5,804,84,6,1,0,2,0,1,0,0,1,0,0,5,0,3
2,76,2,2,0,0,3,1,0,1,0,1,0,0,7,0,1
6,463,3,1,0,0,4,1,0,0,1,1,1,0,1,0,6
2,407,3,2,0,3,6,1,1,1,1,1,1,0,7,1,1
2,1285,14,2,3,0,2,1,0,0,0,1,0,0,7,0,1
6,300,48,10,0,0,4,1,0,1,1,1,0,0,2,0,1
3,313,36,5,0,2,2,1,0,0,0,1,0,0,8,0,7
3,92,10,6,0,0,5,1,1,1,1,1,0,0,7,0,1
1,9,3,2,0,5,3,1,0,1,0,1,0,0,7,0,1
5,11,0,8,0,0,2,0,0,0,0,1,0,1,3,0,3
3,237,22,6,3,0,7,1,1,1,1,1,0,1,7,1,7
4,26,5,10,3,0,4,1,1,0,1,0,1,0,7,1,6
3,0,0,6,0,2,2,0,0,1,0,1,0,0,8,0,1
4,0,0,6,0,3,4,1,1,0,1,0,1,0,5,0,1
5,2150,9,8,0,0,2,0,1,0,0,1,0,0,5,1,3
4,196,6,3,3,0,3,1,1,0,1,0,0,0,5,0,3
4,0,0,1,0,0,3,1,1,0,0,1,0,0,7,0,2
4,72,3,1,0,3,3,0,1,1,0,1,0,0,5,0,6
5,1,3,7,0,2,2,1,0,0,0,1,0,0,8,0,4
6,30,0,1,0,0,4,0,1,1,1,1,0,0,5,0,2
4,637,5,10,0,0,2,0,0,1,0,1,0,0,2,0,3
4,1221,29,6,0,3,5,1,1,1,0,1,0,1,6,0,2
5,99,39,10,0,0,4,1,0,1,0,1,1,0,8,0,8
5,288,2,8,0,3,4,1,0,1,0,1,1,0,7,0,3
3,505,38,2,0,3,2,1,0,0,1,0,0,0,7,0,1
5,66,15,10,2,0,4,0,1,0,1,0,0,1,4,0,4
4,0,0,1,0,0,7,1,1,1,1,1,0,1,2,0,2
1,0,0,1,0,0,5,1,1,0,1,1,1,0,5,0,2
1,0,0,1,0,0,4,0,0,1,1,1,1,0,2,0,2
1,0,0,1,5,0,4,0,1,1,1,1,0,0,5,1,2
4,2506,20,8,0,3,4,1,1,0,0,1,1,0,7,0,3
2,63,0,6,0,5,4,1,1,0,1,1,0,0,7,0,2
4,17,1,10,0,5,7,1,0,1,1,1,1,1,2,0,2
3,450,8,6,0,0,2,0,0,1,1,0,0,0,2,0,2
3,41,6,4,0,0,2,1,0,0,0,1,0,0,7,0,2
5,185,10,8,0,3,4,1,1,0,0,1,1,0,7,0,3
5,36,18,7,0,0,3,1,0,1,0,1,0,0,7,0,4
4,945,18,10,0,0,4,0,1,1,1,0,1,0,5,0,6
5,514,49,10,0,5,3,1,0,1,0,1,0,0,7,0,4
4,57,2,3,0,5,4,1,1,0,1,1,0,0,5,0,8
6,1,0,10,0,0,2,1,0,0,0,1,0,0,7,0,2
2,5,1,1,0,0,3,1,0,0,0,1,1,0,7,0,2
4,164,7,8,0,0,2,1,0,0,0,1,0,0,7,0,3
5,781,45,9,0,0,2,1,0,0,0,1,0,0,7,0,3
1,0,0,1,0,0,6,1,1,1,1,1,0,1,2,0,2
6,0,0,1,0,0,5,1,0,1,1,1,0,0,2,0,2
5,84,1,8,1,3,4,1,1,0,0,1,1,0,5,0,3
4,236,13,10,0,6,5,1,0,0,1,1,1,0,4,0,6
3,245,56,1,0,0,3,1,0,1,0,1,0,0,7,0,2
2,178,3,2,0,9,3,0,0,1,1,1,0,0,8,0,1
1,0,0,1,0,0,6,1,1,1,1,1,0,0,8,1,2
1,9363,231,1,0,13,3,1,0,1,0,1,0,0,8,0,2
5,22402,274,5,0,0,2,1,0,0,1,0,0,0,7,0,7
6,15,0,6,0,0,4,1,1,0,1,0,1,0,7,0,2
3,0,0,6,2,0,4,1,0,0,1,1,1,0,4,0,1
2,912,15,2,0,3,7,1,1,1,1,1,1,1,7,0,1
5,333,60,10,0,0,2,1,0,0,1,0,0,0,7,0,7
6,3,0,1,0,0,3,1,0,1,0,1,0,0,7,0,2
3,256,22,6,0,3,4,1,0,1,1,1,0,0,7,0,7
4,905,28,10,0,0,4,1,1,0,1,0,0,1,5,0,6
4,753,6,10,3,0,4,1,1,0,0,0,1,1,5,0,6
4,391,8,10,0,7,5,1,1,0,1,1,1,0,5,0,6
